Name,aug_idx,supp_ratio,mmg,msg,smg,ssg,area,curve_c,gradient,particle_sum,target
CUB-004,02,37.56662225183211,131.8214716569767,34.25724798621007,21.439659419646198,10.698135487681133,27518.438141543462,158.65471005119255,0.2796,47040,f2
CUB-004,03,32.819786808794134,132.5560683139535,33.398354863900224,23.735392446436567,9.163707023374714,27491.58268886528,156.07347287394435,0.1945,45682,f2
IKR-001,00,33.17867932671558,95.13634672619048,37.05509209629861,3.5502082229147374,12.08171885873093,1905.1516585348515,98.51976805441706,0.0536,65,p0
IKR-001,01,34.05060553633218,95.13645089285716,36.983716688802325,3.0774809549296864,12.425229591486238,1948.1319381776032,98.59905815108218,0.0536,138,p0
IKR-001,02,34.35337370242215,96.73515625,36.849574395644645,5.67302109345831,11.618186133362094,1721.1428575490722,99.22148468306722,0.057,47,p0
IKR-001,03,33.07993049522155,96.88264322916666,36.950745355827635,5.588006747037905,11.50839707502082,1736.354229157612,99.1921265443745,0.058,75,p0
IKR-002,00,3.555921545141488,68.30543918918919,45.75861556079451,3.968231951358411,12.19863194814096,3281.59054691198,71.04540687081332,0.073,1,p0
IKR-002,01,0.0,68.28822212837838,45.7362084045689,4.4640587287891424,12.176204903134849,3261.3491575927637,71.02135722899027,0.073,1,p0
IKR-002,02,2.6544333940327776,68.29182432432431,45.78487107998613,4.5800450856987105,11.93433325149092,3302.2190326716363,71.05770627692458,0.073,1,p0
IKR-002,03,26.727642276422763,68.28946368243243,45.72178741429949,5.092820541384712,11.992941642338748,3277.142994671867,71.03290779423699,0.073,1,p0
POA-001,00,84.32472480948348,196.83636458333334,18.79937643847334,9.019303212337936,4.992875653257991,13128.926865438592,211.0276645111369,0.1935,12599,f2
POA-001,01,82.17662226042114,197.07857291666667,18.733703609666353,9.467088462472066,4.69911948195284,13129.872817236037,209.1005232831979,0.1588,12307,f2
POA-001,02,83.45278246205734,196.93051562499997,18.83569536735185,9.197025635707663,5.129796287159331,13032.92862977671,209.89579238355813,0.1227,12240,f2
POA-001,03,80.52497883149873,195.93229910714285,19.069635065573,8.737080981657332,5.239491446485428,12159.070243215203,212.53630975348395,0.1845,12293,f2
POA-002,00,74.36451448906965,164.41039772727274,26.402044011624092,28.279760868462958,8.267754203689698,24465.72945018559,192.28743635866104,0.2771,26635,f2
POA-002,01,75.18162947586923,163.31738636363636,27.628547197582165,26.232085271094448,9.941528984284254,24358.256576014443,192.795550699793,0.253,26613,f2
POA-002,02,70.2943615257048,163.82869318181818,26.66838589338754,28.466610305692043,7.383320772722579,24438.825730965564,192.014755333961,0.253,26655,f2
POA-002,03,54.031923714759536,164.23329545454547,27.22187133973875,27.10965086412845,8.88472940681339,24322.06548732798,192.47564156425292,0.2369,26632,f2
POA-003,00,17.481987106560485,123.39246582031251,35.566868101094855,18.827175979216268,9.174877868513684,10885.561282666622,177.61127901761196,0.3612,27068,f1
POA-003,01,24.771076728765394,148.69005450581398,33.21394834637784,38.966842051594156,9.93769044851099,41705.708188204604,193.37637019200673,0.2622,27294,f1
POA-003,02,18.345252284465634,123.7807080078125,35.2070986150498,20.23070603327008,8.844101813032985,12219.973642518027,174.7800987154091,0.3299,25705,f1
POA-003,03,23.268788972760092,121.6457291666667,35.06888709418095,19.38155915344897,9.824880848315482,12492.845097281417,168.66406190168328,0.3497,24023,f1
POA-004,00,33.813379346960446,112.16015224358974,40.379490790028996,25.563422840561266,8.572645559836461,7793.623238663038,174.8822002868556,0.3522,36585,f1
POA-004,01,28.41409691629956,114.66854039634147,40.31269700431049,26.79060659721365,8.581155603425684,7788.924656231287,180.81151239353704,0.3754,38152,f1
POA-004,02,25.754943880277924,112.25837740384614,40.23880844026626,26.04073671224848,8.477590735044549,7745.628696353502,175.00509182703144,0.3459,36549,f1
POA-004,03,26.52938019855111,114.63089176829267,40.45544958700597,26.55763872166211,8.483873446784516,7872.647812711707,180.83389800350724,0.3692,38157,f1
