Name,aug_idx,supp_ratio,mmg,msg,smg,ssg,area,curve_c,gradient,particle_sum,target
COA-001,00,76.38539042821158,192.60323784722226,15.920094525173575,6.0919405953744725,4.112379391677047,3931.2427725773637,205.49088523365378,0.098,51,p0
COA-001,01,85.51709929954676,193.75033536585366,15.707378261338208,6.930086337286556,4.193169976199913,4155.021494755229,206.48332464644648,0.0932,60,p0
COA-001,02,82.45811197384553,193.50124618902439,16.043417404533724,6.161484247756101,3.910712422210221,4113.961049845145,206.58264677671406,0.0932,60,p0
COA-001,03,71.37696118909992,193.536787347561,15.87316882659426,6.638322892575132,4.031460821188076,4126.928972519676,206.4696134294281,0.0932,60,p0
COA-002,00,90.76406381192275,129.7889400337838,30.909432974855886,5.266344134234962,7.928855324859358,3107.575526774712,137.80061489483415,0.0767,4,p0
COA-002,01,91.01170568561872,129.74203969594595,30.822135730736203,5.598539515035798,8.168604188663748,2923.732905461575,136.9307792314415,0.074,4,p0
COA-002,02,84.04345973583298,129.5103927364865,31.05609808728476,4.098232060115292,7.971742671089423,3229.000114616832,138.20900537252862,0.0759,4,p0
COA-002,03,79.82895285773884,129.61638091216219,30.9228400661657,4.983565130489513,8.13398046516479,2912.5674642356526,136.93162494208522,0.074,4,p0
COA-003,00,82.8125,120.55330792682928,34.05349241991976,7.971865465974765,8.24273096810661,3256.154170674463,138.10423554217058,0.1258,344,f2
COA-003,01,77.36754276178557,120.58198932926828,33.98517395323536,8.147345143076489,8.323289992471866,3481.5907430764914,138.2045447819778,0.1227,365,f2
COA-003,02,74.6844762305427,120.5178467987805,34.237681309883115,7.353442481549004,8.108670255926707,3406.975478713659,138.6417387706775,0.1254,364,f2
COA-003,03,73.68585732165207,120.53457317073169,34.17484642008927,7.515225809988333,8.25295706169077,3362.028197820848,138.1060495468928,0.1227,356,f2
COA-004,00,75.7393565160871,114.56594840116281,36.85867768201459,10.872777495282955,8.91847467122084,7950.58427485893,134.57475418199718,0.1433,18441,f2
COA-004,01,84.93874102239121,114.37337209302326,36.695163922983845,10.571398043832485,9.127193027721153,7977.873633540821,134.6061044772318,0.1433,18437,f2
COA-004,02,76.90217391304348,113.10276295731705,36.90160782210204,9.652408201999965,8.762238441013489,7788.740218904308,132.9009359180961,0.1415,18416,f2
